"","Price","Bathrooms","Sqft_living","ActualBedrooms","PredictedBedrooms4"
"225",280000,2.5,1270,3,3
"226",411000,2.75,2500,4,4
"227",480000,3.5,3370,4,4
"228",885000,2.75,2730,4,4
"229",333000,2,1580,4,3
"230",602000,1.75,3290,5,4
"231",565000,2.25,2110,4,3
"232",280000,2.5,1720,3,3
"233",110700,1,680,2,3
"234",350000,2.25,1640,3,3
"235",572500,2.25,2030,3,3
"236",640000,2.25,1540,2,3
"237",551000,2.5,2830,3,4
"238",271310,1,870,2,3
"239",520000,3.5,2680,4,4
"240",192500,1,950,2,3
"241",250000,2,1960,4,3
"242",467000,2.25,1270,3,3
"243",387000,2.25,1230,2,3
"244",263000,1.75,1570,3,3
"245",326000,3,1880,6,4
"246",268500,1,790,2,3
"247",1125000,3,2880,6,4
"248",219950,1.5,1650,3,3
"249",260000,2.5,1990,4,3
"250",749950,2.5,2770,3,4
"251",1100000,2,2390,3,3
"252",620000,2.5,2480,3,4
"253",475000,1.75,1650,4,3
"254",330000,1,1180,3,3
"255",619500,2.5,1700,3,3
"256",598000,2.25,2890,5,4
"257",3e+05,5.25,2860,6,5
"258",194000,1,820,1,3
"259",329900,2.5,2170,3,4
"260",423000,1.75,1940,4,3
"261",625000,2.5,3550,4,4
"262",439000,2,2010,3,3
"263",772000,2.25,1640,3,3
"264",305000,2.5,1590,2,3
"265",325000,1,990,3,3
"266",420850,1,960,1,3
"267",815000,2.75,3488,4,4
"268",199000,2,2030,4,3
"269",1506000,3.25,3660,4,4
"270",442000,2.25,2080,4,3
"271",619420,2.75,2450,4,4
"272",635000,2.25,2750,4,4
"273",210000,1,1240,3,3
"274",250000,2,1170,3,3
"275",175000,1.75,1230,3,3
"276",429000,2.5,2420,3,4
"277",668750,2.5,2340,4,4
"278",540000,1.75,1300,3,3
"279",246000,1.5,1780,3,3
"280",430000,1,1150,3,3
"281",520000,2.5,3290,4,4
"282",712000,2.5,3400,4,4
"283",525000,1,1450,3,3
"284",318989,2.25,2000,4,3
"285",556000,2.25,2020,3,3
"286",275000,2.5,2030,3,3
"287",396450,1.75,1540,3,3
"288",225000,1,1396,2,3
"289",655000,3.5,2350,4,4
"290",1185000,2.25,2760,3,4
"291",1550000,2.5,4460,3,4
"292",334990,2.5,2220,4,4
"293",1030000,4,3880,3,5
"294",356000,1.75,1060,2,3
"295",585000,1.75,3000,4,4
"296",305000,1.75,2200,4,3
"297",235750,1,740,2,3
"298",385000,1,1250,3,3
"299",150000,1,820,2,3
"300",348580,1,1220,3,3
"301",910000,3.25,3340,4,4
"302",1150000,4.5,6040,6,6
"303",482000,2.25,2230,5,3
"304",320000,2.25,998,3,3
"305",408000,2.25,1950,3,3
"306",3e+05,2.5,2760,5,4
"307",380000,3.5,2420,5,4
"308",353000,1,550,1,2
"309",460000,1,1670,3,3
"310",325000,1,1920,3,3
"311",980000,3,3680,4,4
"312",556000,2.5,3840,5,4
"313",439950,2.5,2380,4,4
"314",175000,1,1300,2,3
"315",527550,0.75,820,1,2
"316",416000,1.5,1110,3,3
"317",1325000,3,3370,4,4
"318",735000,2.5,2390,3,4
"319",661254,4,2290,4,4
"320",335000,2.5,1750,4,3
"321",440000,2.5,2560,4,4
"322",670500,2,1590,4,3
"323",788600,2.75,3500,4,4
"324",530000,1.75,1814,4,3
"325",90000,1,580,2,2
"326",388000,2.5,2440,4,4
"327",255000,2,1490,3,3
"328",501000,1,1010,2,3
"329",347000,1.5,2670,4,3
"330",440500,2.5,2460,3,4
"331",820000,2.5,3670,4,4
"332",675000,3,2980,3,4
"333",276000,1,1140,3,3
"334",375000,1.75,1440,3,3
"335",160000,1,1180,2,3
"336",4e+05,1,1470,2,3
"337",8e+05,2.5,2680,4,4
"338",1795000,3.25,4060,4,4
"339",260000,2,1630,3,3
"340",457500,1.75,1840,3,3
"341",1381000,3.75,3160,4,4
"342",465000,2,1560,3,3
"343",329000,1,1600,3,3
"344",475000,2,1230,3,3
"345",355000,2.25,1810,4,3
"346",282000,2.5,1680,3,3
"347",994000,2.25,2510,3,4
"348",304000,1,900,3,3
"349",5e+05,2.25,1760,3,3
"350",274950,1.75,1670,3,3
"351",455600,2.5,2420,3,4
"352",312900,2.5,1630,4,3
"353",405000,1,910,2,3
"354",725000,1.5,2500,3,3
"355",293000,2.5,3250,4,4
"356",1710000,4.5,4590,5,5
"357",1149000,3,5940,4,5
"358",450800,3.25,2510,4,4
"359",310000,1,1430,3,3
"360",630000,2.5,2740,4,4
"361",9e+05,2.75,2300,6,4
"362",254000,1,1060,2,3
"363",840000,2.75,3040,4,4
"364",450000,1,1100,3,3
"365",898000,1.5,2680,5,3
"366",150000,1,820,3,3
"367",225000,2.5,1680,3,3
"368",215000,1.75,1210,3,3
"369",655000,2.5,2990,4,4
"370",244615,2.5,2060,3,3
"371",189000,2,1700,2,3
"372",820000,2.5,2510,3,4
"373",968000,2.75,3610,6,4
"374",1210000,2.75,3650,4,4
"375",6e+05,2,2510,4,4
"376",590000,2,1650,3,3
"377",210000,1.5,880,2,3
"378",840500,2,2520,3,3
"379",840000,2.5,3420,4,4
"380",681716,2.5,3150,4,4
"381",425000,2.75,1680,4,3
"382",510250,1.75,1400,3,3
"383",254000,2,1480,3,3
"384",840000,1.75,2330,4,3
"385",253400,2,1400,3,3
"386",510000,1.5,2040,4,3
"387",875000,2.75,2280,3,4
"388",1400000,3.25,4700,4,5
"389",739000,2.5,2810,3,4
"390",264000,1.5,1470,3,3
"391",690000,2.5,2920,4,4
"392",820000,2.25,2280,4,3
"393",145000,1,1010,3,3
"394",750500,3,2170,5,4
"395",3e+05,1,820,2,3
"396",231000,2,1530,4,3
"397",790000,3.25,2900,5,4
"398",950000,3.5,4140,4,5
"399",595000,2,1480,3,3
"400",349000,1.75,1700,4,3
"401",529000,1,1590,3,3
"402",405000,1.75,1880,5,3
"403",3100000,4.25,6980,6,6
"404",2750000,3.25,4430,4,4
"405",672500,2.75,2620,4,4
"406",685000,1.75,1940,3,3
"407",210000,1.75,1590,3,3
"408",350000,2.5,2040,4,3
"409",385000,1,1220,3,3
"410",2400000,3.25,4140,4,4
"411",349900,2.5,2200,3,4
"412",655000,2.25,2060,4,3
"413",399000,1,940,2,3
"414",322000,2.5,2280,4,4
"415",750000,2.75,2600,4,4
"416",427000,2.75,2220,5,4
"417",735000,3,2840,4,4
"418",645500,1,1890,2,3
"419",325000,1.75,2180,3,3
"420",825500,2.5,2780,3,4
"421",538888,2.75,2080,5,4
"422",459000,1.75,1620,3,3
"423",250000,1,750,1,3
"424",404000,1.5,2030,3,3
"425",559900,2.75,2930,3,4
"426",380000,1,1210,2,3
"427",439900,2,1410,2,3
"428",1250000,3.25,3160,5,4
"429",661000,2.25,1990,4,3
"430",789000,3,3740,3,4
"431",668500,2.5,2710,4,4
"432",686000,1.5,1840,3,3
"433",665000,2.5,2720,4,4
"434",440150,1,1110,2,3
"435",675000,2.25,2610,3,4
"436",955000,2.25,3020,3,4
"437",645000,2.5,2430,4,4
"438",550000,2,1810,3,3
"439",410000,1.75,1790,4,3
"440",432500,2.5,2240,3,4
"441",345000,1.75,1990,3,3
"442",274950,1,1450,3,3
"443",342000,2.5,1175,2,3
"444",544000,1.5,1790,3,3
"445",425000,2.25,1660,3,3
"446",328500,2.5,1950,3,3
"447",365000,2.5,1720,3,3
"448",590000,4.25,2360,4,4
"449",435000,1.75,2220,3,3
"450",440000,1,1230,2,3
"451",268000,1.75,1970,3,3
"452",235000,1,720,2,3
"453",654950,2.5,2790,4,4
"454",545000,1.75,1810,3,3
"455",425000,2.25,1870,3,3
"456",430000,2.25,1790,4,3
"457",720000,2.5,2870,4,4
"458",234000,1,940,2,3
"459",285000,1.75,2880,3,4
"460",930000,2.5,2680,2,4
"461",375000,1.75,2200,4,3
"462",270000,2.25,2080,3,3
"463",1126000,3.5,3880,5,4
"464",212500,1,920,3,3
"465",2400000,3.25,3410,5,4
"466",289950,2,1670,3,3
"467",4e+05,1.75,1530,3,3
"468",525000,2,1540,3,3
"469",646000,2.25,2500,4,4
"470",392500,2.5,2150,4,4
"471",317000,1,1010,3,3
"472",375000,1,820,2,3
"473",310000,2,1350,3,3
"474",411715,1.75,1840,3,3
"475",170000,1,1500,2,3
"476",418500,2.5,2060,3,3
"477",2005000,4.5,3810,6,5
"478",742000,3.25,1540,3,3
"479",791000,2.25,2430,3,4
"480",190000,2,1750,5,3
"481",653000,2.5,2680,3,4
"482",449950,2.5,2170,3,4
"483",630000,3.75,4610,4,5
"484",425000,2.75,2440,4,4
"485",297500,2.5,1910,4,3
"486",495000,3,2440,5,4
"487",210000,1.5,1920,4,3
"488",795000,2.25,2070,4,3
"489",492000,3.75,2810,4,4
"490",545000,1.75,1700,3,3
"491",466800,2.5,1480,3,3
"492",610000,1.75,1830,4,3
"493",165000,1,1150,3,3
"494",619000,1.75,1660,4,3
"495",547000,2.5,1480,3,3
"496",359800,2.5,2390,4,4
"497",270000,1.5,1890,3,3
"498",453500,1.75,2000,4,3
"499",376000,2.75,2420,4,4
"500",605004,2,1370,4,3
"501",343000,2.5,2070,4,3
"502",411605,2.5,2658,4,4
"503",550000,2.5,2700,4,4
"504",270000,2.25,1900,4,3
"505",545000,2.5,2040,4,3
"506",387500,1,1560,3,3
"507",744000,2.5,2670,3,4
"508",435000,1,1260,2,3
"509",1370000,2.25,2460,2,3
"510",835000,2,2280,2,3
"511",680000,2.25,2270,3,3
"512",570000,2.5,2400,3,4
"513",160000,1,1210,3,3
"514",407193,2,1880,4,3
"515",320000,1.75,1370,3,3
"516",739000,3,2720,4,4
"517",452000,1.75,1740,2,3
"518",6e+05,2.5,2560,4,4
"519",611000,2.5,3820,6,4
"520",510000,2.25,2450,4,4
"521",540000,3,2870,5,4
"522",648000,2.5,2380,4,4
"523",1635000,3.5,4220,5,5
"524",341000,1.75,1920,4,3
"525",390000,1.75,2700,4,4
"526",480000,1.75,2220,4,3
"527",305100,2,1590,3,3
"528",440000,1.75,2240,3,3
"529",285000,2.25,1680,3,3
"530",471000,2.5,2330,4,4
"531",640000,2.5,2140,3,3
"532",550000,2.5,2700,4,4
"533",270000,2.75,1990,4,4
"534",229950,1.75,1300,4,3
"535",352750,1.75,1060,2,3
"536",546000,2.5,1530,3,3
"537",212500,2,1030,2,3
"538",965000,2.25,3160,4,4
"539",559000,1.5,2070,3,3
"540",213000,1.75,1980,4,3
"541",620000,2.5,2590,3,4
"542",379000,1.5,2020,4,3
"543",695000,2.75,2540,3,4
"544",315000,2.5,1930,4,3
"545",8e+05,2.25,1620,3,3
"546",435000,2.25,1970,5,3
"547",417500,1,1390,4,3
"548",659000,2.5,2510,3,4
"549",165000,1,970,3,3
"550",219900,1,970,3,3
"551",315000,1,1740,2,3
"552",380000,1.5,1680,4,3
"553",499000,1,1220,2,3
"554",1070000,3,2940,3,4
"555",403000,1,1100,2,3
"556",375000,2.5,2210,4,4
"557",306888,1.5,1010,2,3
"558",310000,2.5,1780,3,3
"559",555000,2,2180,3,3
"560",745000,3.25,3490,4,4
"561",433000,1.75,1870,3,3
"562",307000,1,1150,4,3
"563",415000,2.5,2090,3,3
"564",749000,1,1580,3,3
"565",303210,2.5,2009,4,3
"566",248000,1.5,1510,5,3
"567",290300,1,860,2,3
"568",220000,1,1050,3,3
"569",650000,1,1030,2,3
"570",435000,2.5,1420,3,3
"571",515000,2.5,3370,3,4
"572",852600,2.5,3320,4,4
"573",514000,1.75,1720,3,3
"574",386000,1.5,1270,3,3
"575",335000,2.25,2030,4,3
"576",735000,1.75,2460,4,3
"577",214950,1.75,1570,3,3
"578",476000,1,1140,3,3
"579",2888000,6.25,8670,5,7
"580",308900,2.5,2250,3,4
"581",547500,3.5,1650,3,4
"582",415000,2.5,2550,4,4
"583",1325000,2.25,3200,5,4
"584",578000,2.5,3140,4,4
"585",1485000,3.75,4030,4,5
"586",2250000,4.25,4860,5,5
"587",9e+05,2.25,2460,4,4
"588",789500,2.5,3010,4,4
"589",678500,2,2460,3,3
"590",381000,1.75,1800,3,3
"591",440000,1,1210,3,3
"592",445000,1.75,2460,5,3
"593",397990,1,1180,3,3
"594",363000,3.25,1651,3,3
"595",333000,2.5,1910,4,3
"596",743000,1.75,2110,3,3
"597",489950,2.25,2640,4,4
"598",498500,2.75,2990,5,4
"599",310000,3,1880,5,4
"600",1688000,2.5,3000,4,4
"601",315000,2.5,1880,3,3
"602",336750,2.25,1170,2,3
"603",822500,3.5,2320,5,4
"604",589000,3,2440,4,4
"605",285000,1.75,1840,3,3
"606",845000,2.75,4070,4,4
"607",350000,1.75,1820,3,3
"608",304000,1,1280,3,3
"609",1030000,2.5,2750,4,4
"610",235000,1.75,1900,3,3
"611",153000,1,1270,3,3
"612",345000,1.5,1800,2,3
"613",585000,1,1870,3,3
"614",370000,2.5,2220,4,4
"615",129000,1,1150,2,3
"616",589000,2,2250,3,3
"617",397500,2,1510,3,3
"618",530000,2.5,1930,3,3
"619",330000,1.75,1430,3,3
"620",735000,2.75,2450,4,4
"621",418000,3,2360,4,4
"622",534500,2.5,1700,3,3
"623",690000,1.75,1600,2,3
"624",530000,2.5,2050,4,3
"625",357186,1.75,1210,2,3
"626",385000,1.75,1690,4,3
"627",235000,1.5,880,2,3
"628",680000,2.75,2500,4,4
"629",902000,2.5,3030,4,4
"630",638000,2.5,2110,3,3
"631",660000,1.75,1840,6,3
"632",575000,2.5,2120,4,3
"633",460000,1,890,2,3
"634",1712500,3.25,2940,3,4
"635",175000,1.5,1220,3,3
"636",552000,1,1120,3,3
"637",518000,2.5,1740,4,3
"638",699850,3.5,2690,4,4
"639",285500,1.75,1960,4,3
"640",921000,1.5,2220,4,3
"641",375000,2.5,2040,4,3
"642",850000,3.5,4140,4,5
"643",429000,2.5,2340,5,4
"644",523950,2.25,1420,3,3
"645",320000,2.25,1200,3,3
"646",749995,3.25,3430,4,4
"647",435000,2,1980,3,3
"648",210000,1,930,1,3
"649",187500,1.5,1180,3,3
"650",272000,2,1380,3,3
"651",235000,1.75,1190,3,3
"652",866059,3.5,3130,5,4
"653",475000,2.25,2280,3,3
"654",458000,1.5,1550,4,3
"655",550000,1.75,2240,3,3
"656",605500,2.5,2830,3,4
"657",247200,1.75,1370,3,3
"658",250000,1.5,1088,2,3
"659",260000,1.75,1440,3,3
"660",738500,2.5,2300,3,4
"661",854000,2.75,3150,4,4
"662",605000,2.25,2010,3,3
"663",1200000,3.5,4170,4,5
"664",472000,2.5,1180,3,3
"665",440000,2,1450,4,3
"666",269500,1.5,1480,2,3
"667",840000,3.5,3860,4,4
"668",549000,2.5,1380,2,3
"669",449950,2.5,2470,4,4
"670",142500,0.75,1440,4,3
"671",465000,2.75,1430,2,3
"672",4e+05,2.25,2140,3,3
"673",310000,2,1870,4,3
"674",435000,1,1230,2,3
"675",1538000,2.25,2880,3,4
"676",1728000,3,3700,4,4
"677",824000,4.25,3670,7,5
"678",345000,2.5,1680,3,3
"679",770000,2.25,2910,3,4
"680",274500,2.25,1720,3,3
"681",450000,1.75,1180,3,3
"682",264000,1.75,1820,4,3
"683",540000,1.75,1970,3,3
"684",230000,1,1080,2,3
"685",3e+06,4.25,4850,4,5
"686",192500,1,1080,3,3
"687",739888,2.5,2420,3,4
"688",568450,3.5,3260,5,4
"689",574950,3.25,3160,5,4
"690",620000,2.5,1910,4,3
"691",615000,2.25,2480,5,4
"692",825000,3.5,3810,4,4
"693",315000,2.5,1730,3,3
"694",299000,2.5,2220,5,4
"695",650000,1.5,1320,3,3
"696",580000,2.5,3250,4,4
"697",536751,1.75,1930,3,3
"698",415000,2.5,2020,4,3
"699",1399950,2.75,3870,4,4
"700",485000,2.5,1430,2,3
"701",482000,3.25,1380,3,3
"702",450000,1.75,1610,3,3
"703",580000,2.25,2160,4,3
"704",945000,2.5,2540,2,4
"705",1325000,2.5,2440,4,4
"706",410000,2.75,2520,6,4
"707",221000,2.25,1640,3,3
"708",311000,1.75,1900,3,3
"709",435000,1.75,1310,3,3
"710",287000,2,1300,3,3
"711",440000,1.75,1170,3,3
"712",540500,3.75,3090,5,4
"713",436000,1,790,2,3
"714",489950,2.25,1820,3,3
"715",850000,1.75,1590,2,3
"716",930000,2,3530,5,4
"717",505000,2.5,1610,3,3
"718",925000,2.5,3280,4,4
"719",619850,2.5,2270,4,4
"720",646000,2.5,2310,4,4
"721",319950,1,920,2,3
"722",712000,2.75,3200,3,4
"723",728050,2.5,2320,3,4
"724",605000,2.5,2620,4,4
"725",441000,2.75,1910,3,3
"726",1950000,3.5,4640,7,5
"727",395000,1,1500,3,3
"728",632500,2.5,2090,4,3
"729",380000,1.5,1520,3,3
"730",979000,1.5,1700,3,3
"731",587206,3.5,1890,3,4
"732",397000,2.5,2320,4,4
"733",371000,2.5,2550,4,4
"734",250000,1,800,1,3
"735",681500,2.75,3260,5,4
"736",1300000,4,3366,5,4
"737",995000,4.5,3850,4,5
"738",915000,3.25,2660,3,4
"739",482500,3,1630,4,3
"740",205000,1,960,3,3
"741",623000,2.5,1850,3,3
"742",405000,1,1460,3,3
"743",8e+05,2.75,3150,4,4
"744",489000,2,2120,4,3
"745",339990,2.5,2570,3,4
"746",775950,2.5,2970,4,4
"747",654000,3.25,1530,3,3
"748",418000,1.5,1550,4,3
"749",687000,2.5,2370,4,4
"750",439500,2.5,2050,3,3
"751",374000,2.5,2580,4,4
"752",330000,2.5,2380,4,4
"753",365000,2,1940,4,3
"754",577000,2.5,2060,3,3
"755",440000,1.75,1560,3,3
"756",235000,1,1170,3,3
"757",442000,2.5,2520,4,4
"758",264000,1.75,1760,3,3
"759",430000,1.5,950,2,3
"760",550000,2.5,1900,3,3
"761",735000,2.25,2270,4,3
"762",286000,2.75,1100,3,3
"763",579000,2.5,1640,3,3
"764",345100,3.75,1950,3,4
"765",291500,1,880,3,3
"766",458500,2,1890,3,3
"767",479000,2.25,2110,3,3
"768",494000,2.5,1830,4,3
"769",442500,1.75,1600,3,3
"770",260000,2.5,2000,4,3
"771",249000,1,1000,3,3
"772",405000,1,860,2,3
"773",430000,1.75,1300,3,3
"774",6e+05,2.5,2260,3,4
"775",225000,1.75,1580,3,3
"776",3e+05,2.5,2620,4,4
"777",491234,2.5,1540,4,3
"778",1580000,2.5,4570,4,4
"779",905000,3.25,3440,4,4
"780",899000,1,1480,3,3
"781",831500,2.5,4470,5,4
"782",385000,3.25,1630,3,3
"783",750000,2,1820,3,3
"784",425000,2.25,1580,3,3
"785",337000,1.75,1310,3,3
"786",664950,3,3190,5,4
"787",415000,1.75,1070,3,3
"788",405000,2.5,3170,3,4
"789",520000,1.75,2300,3,3
"790",3e+05,1,2150,3,3
"791",625000,2.5,2410,3,4
"792",615000,1,1270,2,3
"793",660000,2.25,2550,2,4
"794",380000,2.25,1860,3,3
"795",535000,2.5,2070,3,3
"796",1157400,2.5,2740,3,4
"797",941000,1.75,2320,4,3
"798",339000,1,1100,3,3
"799",455000,1.5,1200,2,3
"800",689000,1.75,2200,3,3
"801",304000,2,1310,4,3
"802",139000,1,690,2,3
"803",464500,1.75,1150,3,3
"804",230000,1.75,1850,4,3
"805",457500,2.25,1430,3,3
"806",325000,1,850,3,3
"807",6e+05,3.25,4690,4,5
"808",257500,2,1180,2,3
"809",970000,2.25,3060,3,4
"810",289000,2.5,1970,3,3
"811",599000,2.75,2730,5,4
"812",218000,1,880,3,3
"813",360000,1.75,1500,3,3
"814",329950,1,900,2,3
"815",210000,1,970,2,3
"816",1200000,1.75,3990,4,4
"817",597326,4,3570,4,4
"818",739900,2.5,2980,5,4
"819",725000,2.5,2610,3,4
"820",583000,2.5,1790,3,3
"821",657000,2.5,2180,4,3
"822",386000,2.25,2050,4,3
"823",589950,3,2790,5,4
"824",575000,2.25,1700,3,3
"825",574000,2.5,2380,3,4
"826",450000,1.5,2330,3,3
"827",870000,2.75,2840,4,4
"828",1355000,1.5,2680,3,3
"829",1005000,4.5,4225,4,5
"830",1700000,3.5,5850,5,5
"831",349000,1,1010,3,3
"832",1140000,2.25,3310,4,4
"833",594000,2.25,1270,3,3
"834",374500,2.25,1400,3,3
"835",346500,1.75,1610,2,3
"836",640000,1.75,1620,3,3
"837",150000,1,890,2,3
"838",450000,1,1380,2,3
"839",585000,2.75,2890,4,4
"840",410000,1.5,1250,3,3
"841",578000,2.5,2070,4,3
"842",395000,2.25,1350,2,3
"843",425000,2.5,2320,3,4
